candidate_x,candidate_y,count
Kamala Harris,Pete Buttigieg,170
Cory Booker,Kamala Harris,166
Beto O'Rourke,Pete Buttigieg,144
Amy Klobuchar,Kamala Harris,141
Bernie Sanders,Elizabeth Warren,138
Kamala Harris,Kirsten Gillibrand,130
Beto O'Rourke,Kamala Harris,128
Elizabeth Warren,Kamala Harris,121
Amy Klobuchar,Pete Buttigieg,112
Cory Booker,Kirsten Gillibrand,80
Elizabeth Warren,Pete Buttigieg,75
Amy Klobuchar,Kirsten Gillibrand,72
Bernie Sanders,Tulsi Gabbard,65
Amy Klobuchar,Beto O'Rourke,65
Amy Klobuchar,Elizabeth Warren,52
Amy Klobuchar,Cory Booker,43
Jay Inslee,Pete Buttigieg,42
Beto O'Rourke,Elizabeth Warren,41
Cory Booker,Pete Buttigieg,40
Bernie Sanders,Kamala Harris,38
Beto O'Rourke,Cory Booker,33
Cory Booker,Elizabeth Warren,32
Elizabeth Warren,Kirsten Gillibrand,32
Bernie Sanders,Pete Buttigieg,31
Elizabeth Warren,Jay Inslee,30
Beto O'Rourke,Kirsten Gillibrand,27
Kirsten Gillibrand,Pete Buttigieg,26
Amy Klobuchar,Jay Inslee,24
Bernie Sanders,Beto O'Rourke,22
Jay Inslee,Kamala Harris,22
Julián Castro,Kamala Harris,20
Beto O'Rourke,Jay Inslee,16
Amy Klobuchar,John Hickenlooper,16
John Hickenlooper,Pete Buttigieg,15
Beto O'Rourke,Julián Castro,15
John Hickenlooper,Kamala Harris,15
Cory Booker,Jay Inslee,14
Beto O'Rourke,John Hickenlooper,14
Bernie Sanders,Jay Inslee,13
Cory Booker,John Hickenlooper,11
John Hickenlooper,Kirsten Gillibrand,11
Julián Castro,Pete Buttigieg,11
Bernie Sanders,Cory Booker,9
Cory Booker,Julián Castro,9
Jay Inslee,Kirsten Gillibrand,8
Andrew Yang,Bernie Sanders,8
Amy Klobuchar,Bernie Sanders,7
Elizabeth Warren,Julián Castro,7
Jay Inslee,John Hickenlooper,7
Amy Klobuchar,Julián Castro,7
Elizabeth Warren,John Hickenlooper,6
Kamala Harris,Tulsi Gabbard,6
Elizabeth Warren,Tulsi Gabbard,6
Julián Castro,Kirsten Gillibrand,5
Amy Klobuchar,John Delaney,5
John Delaney,Pete Buttigieg,4
John Delaney,Kamala Harris,4
Andrew Yang,Elizabeth Warren,4
Bernie Sanders,Kirsten Gillibrand,4
Andrew Yang,Pete Buttigieg,4
Bernie Sanders,John Hickenlooper,4
Cory Booker,John Delaney,3
Pete Buttigieg,Tulsi Gabbard,3
Andrew Yang,Beto O'Rourke,3
Cory Booker,Tulsi Gabbard,3
Jay Inslee,Julián Castro,3
Bernie Sanders,Julián Castro,2
Andrew Yang,Kamala Harris,2
Kirsten Gillibrand,Tulsi Gabbard,2
John Hickenlooper,Julián Castro,2
Andrew Yang,John Hickenlooper,2
Andrew Yang,Tulsi Gabbard,2
Julián Castro,Tulsi Gabbard,2
Kamala Harris,Wayne Messam,1
Andrew Yang,John Delaney,1
John Delaney,John Hickenlooper,1
Beto O'Rourke,John Delaney,1
Elizabeth Warren,John Delaney,1
Elizabeth Warren,Wayne Messam,1
Jay Inslee,John Delaney,1
John Delaney,Kirsten Gillibrand,1
Amy Klobuchar,Andrew Yang,1
